TP,FP,FN,TN,SHD,TPR,FPR,FDR,scenario,dataset,algo,skel_TP,skel_FP,skel_FN,skel_TN,skel_SHD,skel_TPR,skel_FPR,skel_FDR,orient_TP,orient_FP,orient_FN,orient_TN,orient_SHD,orient_TPR,orient_FPR,orient_FDR
5.0,8.0,4.0,32.0,12.0,0.5555555555555556,0.2,0.6153846153846154,casual_effect,device_failure_data,lim,,,,,,,,,,,,,,,,
4.0,5.0,5.0,35.0,10.0,0.4444444444444444,0.125,0.5555555555555556,casual_effect,student_tutoring_data,lim,,,,,,,,,,,,,,,,
2.0,2.0,1.0,11.0,3.0,0.6666666666666666,0.1538461538461538,0.5,causal_direction_iv,clinical_trial_sem,lim,,,,,,,,,,,,,,,,
3.0,5.0,0.0,8.0,5.0,1.0,0.3846153846153846,0.625,causal_direction_iv,ecommerce_sem,lim,,,,,,,,,,,,,,,,
2.0,4.0,1.0,9.0,5.0,0.6666666666666666,0.3076923076923077,0.6666666666666666,causal_direction_iv,environment_sem,lim,,,,,,,,,,,,,,,,
1.0,3.0,2.0,10.0,5.0,0.3333333333333333,0.2307692307692307,0.75,causal_direction_iv,marketing_sem,lim,,,,,,,,,,,,,,,,
2.0,2.0,2.0,10.0,4.0,0.5,0.1666666666666666,0.5,counterfactual_reasoning,climate_impact_sem,lim,,,,,,,,,,,,,,,,
1.0,3.0,3.0,9.0,6.0,0.25,0.25,0.75,counterfactual_reasoning,clinical_trial_sem,lim,,,,,,,,,,,,,,,,
1.0,3.0,3.0,9.0,6.0,0.25,0.25,0.75,counterfactual_reasoning,education_performance_sem,lim,,,,,,,,,,,,,,,,
1.0,4.0,3.0,8.0,7.0,0.25,0.3333333333333333,0.8,counterfactual_reasoning,investment_outcome_sem,lim,,,,,,,,,,,,,,,,
1.0,3.0,3.0,9.0,6.0,0.25,0.25,0.75,counterfactual_reasoning,manufacturing_quality_sem,lim,,,,,,,,,,,,,,,,
2.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,dag_structure_markequi,dag_structure_markequi_sem,lim,,,,,,,,,,,,,,,,
